Client_ID,Client_Name
542,SGX
543,SHCH
544,Shinsei Bank
545,Simcorp
546,Simplex
547,Societe Generale CIB
548,Societe Generale Security Services
549,Sovereign Capital Management Group Inc
550,St James's Place
551,Standard Bank
552,Standard Bank Jersey
553,Standard Bank Wealth
554,Standard Chartered
555,Standard Chartered Bank
556,Standard Life Investments
557,Standard Life Wealth
558,Stanhope Capital
559,Start-Up Meyer
560,State Street
561,States of Guernsey
562,States of Jersey
563,Stonehage Fleming
564,Sumit Trust Global Asset Services
565,Sumitomo Mitsui Banking Corporation
566,Swedbank Ab
567,T Rowe Price
568,Tactex
569,Taifex
570,Takasbank
571,TAM Asset Management
572,TCH
573,TD Securities
574,Telegraph
575,Telegraph Group
576,Teleios
577,Thames River
578,Thamesis
579,The Family Office Co
580,The Pensions Advisory Service
581,The Prytania Group
582,The Retirement Group
583,Thomas Miller
584,Thomson Reuters
585,Threadneedle Asset Management Ltd
586,Tilney
587,Tindall Riley
588,TMX
589,Tokyo Financial Exchange
590,Touchstone CI
591,TP ICAP
592,TPEX
593,TPT Retirement Solutions
594,Tracey Carr
595,Trax
596,Trident Trust
597,True Potential
598,TSB
599,TT International
600,TWSE
601,UBS
602,UK Finance
603,UKTI
604,Unicredit
605,Univest
606,USS Investment Management Ltd
607,Vanguard Investments UK
608,Vanna Consulting
609,Vaughan Designs
610,Veritas Investment Management
611,Vestra Wealth
612,Vestrata
613,VG (Volaw)
614,Vietcombank
615,VR Capital
616,VTB
617,W H Ireland
618,Walbrook Partners
619,Warwick Capital
620,Waverton Investment Management Ltd
621,Welcome Trust
622,Wells Fargo
623,Wesleyan Assurance Society
624,West Midlands Pension Fund
625,Westpac Banking Corporation
626,Whitefoord
627,WICM
628,Willis Owen
629,Willis Towers Watson
630,Winterflood
631,Wipro
632,Wise Investment
633,Women In Banking and FInance ( WIBF )
634,Women on Boards
635,Deutsche Bank Wealth and Investment Banking
636,Zedra
637,Zurich
638,Zurich Dublin
